Name,Length,Width,Height,Weight,Quantity,Fragility,LoadBear,BoxingType,Bundle,Temperature Sensitivity
HeavyPallet1,1.2,1,1.2,500,6,LOW,2000,PALLET,YES,10°C to 30°C
SteelCrate,2,1.5,1.8,900,2,LOW,2500,CRATE,NO,n/a
IndustrialBox,1.2,1,1,320,5,MEDIUM,1200,CARTON,YES,0°C to 40°C
StackableCrates,1,1,1,220,6,LOW,800,CRATE,YES,10°C to 30°C
DrumSet,0.6,0.6,1,130,8,LOW,650,DRUM,YES,8°C to 25°C
EngineUnits,1.5,1.2,1.2,750,3,HIGH,0,CRATE,NO,n/a
StackableMachinery,1.2,1,0.8,400,4,MEDIUM,1600,CRATE,YES,n/a
LoadBearingFrames,2.4,0.8,0.5,300,3,LOW,1200,FRAME,NO,n/a
CompressedUnits,1,0.8,1.2,600,3,MEDIUM,900,BOX,NO,10°C to 30°C
MountedPumps,1,1,1,330,4,MEDIUM,600,CRATE,NO,n/a
ToolSetsHeavy,0.8,0.6,0.6,90,6,MEDIUM,250,BOX,YES,8°C to 25°C
PackagingRolls,1.2,0.8,0.5,50,8,LOW,150,PALLET,YES,0°C to 40°C
ShieldedElectronics,1,0.6,1.8,120,4,HIGH,0,CRATE,NO,n/a
BulkSupplies,1.2,0.8,1,150,6,LOW,450,CARTON,YES,n/a
IndustrialPanels,2.4,1,0.5,180,3,LOW,800,FRAME,NO,n/a
SmartCabinets,1.2,1,2,400,2,HIGH,0,CRATE,NO,n/a
HeavyBoxedGoods,1.2,1,0.6,160,6,LOW,300,BOX,YES,10°C to 30°C
CoiledMaterials,1,1,0.4,140,5,LOW,400,BOX,YES,n/a
FusedComponents,0.8,0.8,0.6,120,5,MEDIUM,300,BOX,NO,10°C to 30°C
ShockResistParts,1,0.6,0.6,130,6,HIGH,150,BOX,YES,8°C to 25°C
