Name,Length,Width,Height,Weight,Quantity,Fragility,LoadBear,BoxingType,Bundle,Temperature Sensitivity
OptimalFiller_A,5.90,2.35,2.39,2000,1,LOW,9999,CRATE,YES,n/a
MaxBoxCube_A,0.78,0.78,0.78,80,5,LOW,2000,CRATE,YES,n/a
MaxBoxCube_B,0.78,0.78,0.78,80,5,LOW,2000,CRATE,YES,n/a
MaxBoxCube_C,0.78,0.78,0.78,80,5,LOW,2000,CRATE,YES,n/a
ContainerBase_A,2.95,2.35,0.05,100,2,LOW,5000,CRATE,YES,n/a
ContainerBase_B,2.95,2.35,0.05,100,2,LOW,5000,CRATE,YES,n/a
LargeCube_A,0.58,0.58,0.58,50,4,LOW,800,CRATE,YES,n/a
LargeCube_B,0.59,0.59,0.58,50,4,LOW,800,CRATE,YES,n/a
IdealCube_A,0.58,0.58,0.58,50,4,LOW,800,CRATE,YES,n/a
PerfectFit_A,1.16,1.16,0.58,150,3,LOW,1500,CRATE,YES,n/a
MediumCube_A,0.39,0.39,0.39,20,5,LOW,400,BOX,YES,n/a
MediumCube_B,0.38,0.38,0.38,20,5,LOW,400,BOX,YES,n/a
SmallCube_A,0.29,0.29,0.29,10,5,LOW,200,BOX,YES,n/a
SmallCube_B,0.19,0.19,0.19,5,5,LOW,100,BOX,YES,n/a
